
time:2018-12-14 17:39:26, Preset positions:4, ID:1, temperature:17.3
time:2018-12-14 17:39:56, Preset positions:2, ID:1, temperature:21.7
time:2018-12-14 17:40:06, Preset positions:3, ID:1, temperature:18.1
time:2018-12-14 17:40:16, Preset positions:4, ID:1, temperature:17
time:2018-12-14 17:40:46, Preset positions:2, ID:1, temperature:21.5
time:2018-12-14 17:40:55, Preset positions:3, ID:1, temperature:18.3
time:2018-12-14 17:41:06, Preset positions:4, ID:1, temperature:17.3
time:2018-12-14 17:41:36, Preset positions:4, ID:1, temperature:17.1
time:2018-12-14 17:41:36, Preset positions:2, ID:1, temperature:21.4
time:2018-12-14 17:41:45, Preset positions:3, ID:1, temperature:17.9
time:2018-12-14 17:42:33, Preset positions:2, ID:1, temperature:21.3
time:2018-12-14 17:42:42, Preset positions:3, ID:1, temperature:17.8
time:2018-12-14 17:42:53, Preset positions:4, ID:1, temperature:17.2
time:2018-12-14 17:43:23, Preset positions:2, ID:1, temperature:20.7
time:2018-12-14 17:43:32, Preset positions:3, ID:1, temperature:17.8
time:2018-12-14 17:43:43, Preset positions:4, ID:1, temperature:17
time:2018-12-14 17:44:13, Preset positions:2, ID:1, temperature:20.9
time:2018-12-14 17:44:22, Preset positions:3, ID:1, temperature:17.7
time:2018-12-14 17:44:33, Preset positions:4, ID:1, temperature:16.9
time:2018-12-14 17:45:03, Preset positions:2, ID:1, temperature:21.3
time:2018-12-14 17:45:12, Preset positions:3, ID:1, temperature:17.7
time:2018-12-14 17:45:23, Preset positions:4, ID:1, temperature:17.2
time:2018-12-14 17:45:53, Preset positions:2, ID:1, temperature:21.1
time:2018-12-14 17:46:02, Preset positions:3, ID:1, temperature:17.9
time:2018-12-14 17:46:13, Preset positions:4, ID:1, temperature:16.9
time:2018-12-14 17:46:43, Preset positions:2, ID:1, temperature:21.1
time:2018-12-14 17:46:52, Preset positions:3, ID:1, temperature:17.7
time:2018-12-14 17:47:03, Preset positions:4, ID:1, temperature:16.8
time:2018-12-14 17:47:30, Preset positions:2, ID:1, temperature:20.9
time:2018-12-14 17:47:40, Preset positions:3, ID:1, temperature:17.7
time:2018-12-14 17:47:50, Preset positions:4, ID:1, temperature:17.1
time:2018-12-14 17:47:50, Preset positions:4, ID:1, temperature:17.1
time:2018-12-14 17:47:57, Preset positions:2, ID:1, temperature:21.3
time:2018-12-14 17:48:07, Preset positions:3, ID:1, temperature:17.6
time:2018-12-14 17:48:48, Preset positions:2, ID:1, temperature:21
time:2018-12-14 17:48:57, Preset positions:3, ID:1, temperature:17.9
time:2018-12-14 17:49:08, Preset positions:4, ID:1, temperature:16.9
